YES, you dodge a bullet    all da bitches i cut off pregnant or bound to be thank god 
YES, young pill chamberlain these bitches love my music 
YES, teanna trump probably cleaner than most of these twitter hoes but
YES, gay niggas couldnt wait to act like bitches tonight
YES,paradox and ima steal his cat n replace it with a pitbull    paradox he a bitch you should do it
YES,amp hes gone always be a hoe
YES,son of a bitch took my tic tacs
YES,all i wanna do is get money and fuck model bitches  russell simmons
YES, i probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers retweet
YES, im a fucking fag they said
YES, females think dating a pussy is cute now  how does doing this stuff make him a pussy
NO, simplyaddictedtoguys  woof woof hot scally lad
YES, have ya ever asked your bitch for other bitches  kanye voice yes
YES, how u gone bring ur side bitch to a game where you know ya gf friends at   i swear
NO,  woof woof and hot soles
NO, lemmie eat a oreo amp do these dishes one oreo lol
YES,   bitch fuck u  maybe youll get better just 
YES, fuck red malone man bitch ass niggah could you please use complete sentences
NO, why the eggplant emoji doey he say she looked like scream lmao
YES, hennessey venom gt   thats one sexy bitch
YES, him seh me pussy wetter then a shower cuainahmesehwetnessltlmao
YES,hen eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
YES, yo fuck skateboarding all yall some wood pushing faggots man ball is life 
NO, baby monkey bathtime 
YES,  i aint shit  damn skippy lol
YES, u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gtchance
YES, kudabrazyy   rings  mvps  bitches lol
YES, ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn 
YES, the facts on tattoostattoo  hes a pussy with not tattooing them nipples
YES,   ayden bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches
YES, get worshiping bitch  woof woof
YES, wow   im lost are those buttcheek piercings  yeah shes a hoe
YES, ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
YES,   queer gaywad
YES,  faggot read my tweets after dat k it wasnt even funny lol
YES, this bitch was so ungrateful  fr  lulwhore
YES, i been kidnapped yo bitch
YES,baby thunduh alsarabsss hes a beaner smh you can tell hes a mexican
YES,  happy bihday nigs thanks yo
YES, when ur teacher tells u that u have homework  this bitch need to go
YES,   that nigga was eating that hoe lol hell yea lol john paul nigga said john paul 
YES, what would yall lil ugly bald headed bitches do if they stop making makeup amp weave
YES, leafs better win this damn game so i can go riot and shit earlychristmas you better sta looting my nig
YES, going back to school sucks more dick than the hoes who attend it
YES, on my way to fuck yo bitch  me as a  year old
YES, thunduh how come you never bring me food i dont have a car retard
YES, if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like  prople
YES, how bout them cowboys shutup pussy
YES, lmaooooooooooo this nigga nuhcare  ltbitch want likes for some depressing shitfoh
YES,cee aerii girl you know i was spitting that g shit to you amp you was going lbvsbitch plz
YES,cee let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
YES, harlem shake is just an excuse to go full retard for  seconds
YES, amen miley   but she dont need to act like a hoe just bc shes emotionally damaged foh
YES, having one loyal female is wayyyyy better than having hoes  idc 
YES, pussy licking pussy meow meow stopwhitepeople  
YES,
YES,holloway check out our th man cowboysnation even with all those faggot ny fans in the stands
YES, what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
YES, thunduh im the bitch okay nudes pat  wow
YES,  youre fucking gay blacklisted hoe holding out for tehgodclan anyway 
YES, the fuck be wrong with these bitches nobody knows
YES, yall shut upp make me bitch
YES, i hate a im pregnant type of bitch
YES,q got bitches in the dm but i dont ever readem which is y your top 
NO, baseball season for the win yankees this is where the love staed
YES, little stupid as bitch i dont fuck with yoooooouuuu
YES, she really asked me that dead ass serious tho all i could say was bitch wheet lol
NO, im an early bird and im a night owl so im wise and have worms
NO, overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day
NO,grillo pit bulls photographed as lovely fairy tale creatures 
YES,ghost bravo aw fag dont tweet aw to me lol
NO, as long as the lakers trash from now on i could careless and thats real cc  hahaha
YES,  i didnt say anything tho kiss me then faggot
NO, this the i play soccer cheat on girls and wear khaki coloured cargos haircut   yup
YES, i could go for a fat ass bitch on my lap same
YES,  missed calls das yo po bitch twitter finna be screamn freemoneymelle
YES,al ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 
YES,    amo los pies  fuck yeah
YES, these hoes be thinking meat wont slap they ass  ainna bruh
YES, yall bitches wit no edges be doing the most talking 
YES, yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit
YES, i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
YES,jones if she kiss u with her eyes open watch that bitchlmfao
YES, you a woulda coulda shoulda ass hoe 
YES,ltf happy bday bitch ass nigga preciate that bitch roll up
YES,   used to send that bitch up
YES, ugly bitches be like im my own wcw duh bitch you aint nobody elses
YES, bravo nigga you know we hacky sack hoes nah i throw no look passes lmao
YES, glad im getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
NO, this isnt ghettoits sma  im doing this idc
YES, i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
YES, being single isnt an excuse to be a hoe luu
YES, white boy power bitch black power bitch
YES, lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
YES, abrupt bitch where u been around the world and back where you been
YES,  if i dont get my dick sucked at yo pay by a bad bitch im fr gone set it off  by  
YES, oomf is soooo cute but he probably has hoes on him a lot
YES, in every caoon theirs alway a nuffsaid saving these hoes lmao  lmao damn captain saveahoe
NO, who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs
YES, i wish i was a bitch like my brother keezy  ooooow i bet you do
YES, if you dressed up as a cat for halloween you are basic or a pussy
YES, can pornhub just get a gaming stream feature so these dumb bitches can gtfo  get on it katielt
YES, stop being scared to choke her during sex u bitch ass niggas shell like it says the guy who hits women out of bed foh
YES, thunduh ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
YES,  oh man its  am you off a molly ho where the fuck ya seed at fixed
YES, youre not a man if you refer to every girl as a bitch
YES, lmfao this cat staed beating the shit out of me my nigga finally got some pussy my nigga
NO, peel up peel up bring it back up rewind back where im from they move shaq from the line ooooow who tf said that trash
YES,  io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
YES,  naw its my old tape new cover  my upcoming mixtape is kingofthehill yeah im waiting on that hoe mayne
YES, ol diy foot ass bitches this was too funny to me
YES,shawn thunduh thats where i get my yellow flags for being amazing  hell yeah niggy
YES, dont got time for bitches to be actin iffy
NO, ucfpinkpay come on stay alive knights nation this is still the early bird special comeatmeut
YES, these hoes aint loyal  no they aint 
YES, bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
YES, dry pussy bitches always blame it on the condom
YES, shut yo bitch ass up  
YES, gucci mane in jail and dropping mixtapes every month and you hoes cant even text back
YES, you love these hoes more then money wats wrong these niggas
YES, a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
YES, easy cum easy hoe thats a fact 
YES, charlie sheen is too real  major fucking respect for charlie sheen
YES, wish i had a bae 
YES,mike fuck twerking bitch can you cook 
YES,  bitch wtf 
YES,thegreat  thegreat shut up zoe fight me pussy for zoe im good man you are good maam move along now
YES, lmao fucking snake bitches  em
YES,aizah big booty hoes everywhere sheesh  damn 
NO, stay tuned to  for an update on the repo that  b  will be out  weeks  bum
NO,rad  i play soccer cheat on girls and wear khaki coloured cargos haircut  yes lmfao
YES, oregon chokes every year get off the field trash ass program rft
YES, def not cowboy lol   terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo
YES, lmfaoooo i hate black people  this is why theres black people and niggers
YES,   how could u do this to me bitch potent
NO,  a pissed lad past out i would lick his diy soles while he slept
NO,  love frat boy w soft long soles
NO,  sexy lad with hot soles and arches
YES, thunduh nah fam i gotta cheat with the hoes depends on the female i feel
NO,nojas vontethekidd  i got hicks lol
YES, this new twitter is confusing the shit out of me go back to south america bitch
YES,x toto means ass or vaginai think pussy cause toto santi is like nasty pussy
YES, but what if he actually does choose the ugly bitch over you her ass must be fat
YES, bitch couldnt kill my vibe if ya tried  dis why i love miley 
YES, im tired of bitches saying i look mean  nigga you big af wear tight shis and grim everybody
NO,  birds your grandkids may never see thanks to climate change   climate
YES, stay beautiful you bitch
YES, wutkinda
YES, money getting taller and bitches getting blurry
YES, i aint never seen a bitch so obsessed with they nigga im obsessed with mine 
YES,ted kobe stay talking trash but lets not forget  austin i meant to do this one smh
YES, at least im not a nigger 
YES,fakingg people always asking me what im mixed with she a bad asian bitch lol
YES, whiteponyjr ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmaoo
NO,itaintso  fosters home for imaginary trash whoa chill
YES, i am lowkey tired if you tired be quiet and go to sleep hoe
YES,  stop bringing weird niggers into my mentions  
YES,brat we dont love these hoes 
YES, if yo girl cant have homeboys you a ol weak bitch ass nigga
YES, palomino i think worst advice i gave you was  dont be a pussy and speed up lol
YES, quote this tweet with your favorite animalpussy
YES,success i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper
YES, andrewbryant poff has double vision after  beers
YES, when bitches twerk on the computer
YES,    prince this is a  nobody takin his bitch
NO,  of welfaregovernment aid is claimed by white people so yall black slander is trash now
YES, these bitches dont care they just play that role
YES,kaaat it took a while for you to find me but i was hiding in the lime tree
YES, drakes new shoes that will be released by nikejordan yes theres glitter on the shoes  dudes a fag
NO,  inna di ghetto you alone lmaoo
NO,    hoes austin teach us austini teach u how to get curved thats all i know
YES, bitches cant cook but know how to suck dick  so to the ones that can do both
YES, fat hoes get chose lol
YES, hoesaintloyal well theyre hoesno one expects them to be loyal
YES, scrooge neverustt ol bitch ass 
YES, bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo
YES, just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
YES,  holy shit freddie highmore was in charlie and the chocolate factory
YES, i dont want to have sex with my gf because i feel like im using her  anonymous whata faggot
YES,  one of your followers with this    somebody bitch if you dont
YES,jenkins if ya bitch always bitching clearly she care or just an annoying bitch
YES, these catfish hoes thinkin they slick but niggas catching on 
YES, cant worry about a bitch that aint worried bout me real
YES, side hoes are for insecure niggas that cant handle a real one
YES,stokes   lmao this bitch come scooting in the tent like she about to fuck some shit up 
YES,stokes my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers 
YES,probz im hungry but ionn wanna spend my money on foodbroke hoe problems 
YES, dese hoes be lyin to all of us nigga
YES,  oh yeah fuck that bitch
NO, eli manning just threw his nflleading th interception of the season lmao trash
NO, usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team   hes a bitch
YES, guess what i also have zero time for your mansplaining adios stfu pussy
NO, chilling   sexy scally lad
YES, i aint sharing no bitch if you mines you mines 
YES, money only impress the simple broke bitches
YES, pisces will never be anybodys bitch they dont let people control or change them rigghhht
NO,jonez   tuku ho idk blah blah blah 
NO,jonez   im not mad cuh hahaha suure tuku ho ita 
YES, these hoes is crazy
YES,babee you aint ever gonna be a slice bitch kevin ha 
YES, oomf so fuckin fine tho  dam  her dont be no bitch
YES, i wonder if the girl that gave head to  boys for a drink in magaluf has twitter she probly sends nudes for fags
YES, newsatquestions
YES, hickies in between her thighs right by her pussy gtgtgt its only right
YES,luu would you still love me when im no longer young and beautiful no ugly monkey ass
YES,   yall come through the frontbitch i aint coming
YES,  faggot bitch 
YES,realistsam  yea im on my ipad i dont work this friday lets ball this faggot up i work 
NO,  this scally lad would get it
YES, gerryshalloweenpay  halloween was yesterday stupid nigger
YES, chrus still supahot tho walks up to teacher with test drops test in that bitch fohead 
YES,  i love eating pussy lol i never get full lol i can eat that shit forever lol and ever
YES,gfg  gfg  no slushes hoes nasty anyway famthem hoes taste like meds
YES,gfg  no slushes hoes nasty anyway fam
YES,gfg bobby bitchby  be getting me live as fuck hell yea i play that hoe before my workout
YES, yo bitch is gucci mane    my bitch a stoner  
YES, i can ride your bitch with no handle bars
YES, and if you aint a hoe get up out my traphoussseeeee
NO,  sad tv character deaths were still bitter over   stark was the man
YES,jack these harbor bitches are all pay bus hoes lol all
YES,  pussy love it
YES, ultraviolence video its coming you little bitch mtvhottest lana del rey  
YES, on my way to fuck your bitch 
NO, a smuggler explains how he helped fighters along the jihadi highway 
YES,  aww their avis look so cute together    do i gotta get ike avi on this bitch 
YES, drc its simple dont be a hoedont worry about being exposed  fight mewhy 
YES, whys this bitch boosting herself 
YES, nonlykeisha bet not be no bitches   kim bye
YES,xpdotjdot damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
YES, im making marack my girlfriend   aye b you pullin hoes just like o taught you
YES,angiee bruno fag boy you love me
YES,von drc i must be a bitch you are  sike naw this why we always beefing 
NO, down  yankees look to rally in the bottom of the th rallycap
YES,  dont take advantage of a nice person hoes everyjuan
YES, happy bihday bitch nigga  thanks pal
YES, sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday
YES, a cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
YES,  ewww i said that last sundayas in the last sunday i was there read it again nigs
YES,badabing i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
YES,beedontcare my pussy still fresh lt something stank girls say
YES,geewillikers ass slapping is one the greatest things haha  i slapped a girl on the ass  she got mad i aint get pussy for a week
YES,tommycollins   yeah texans are so much better you fucking retard i see that youre mad about this
YES,malibubarbie nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackampmilds out here
YES,sugga theres a lane some bitches need to stay in  the left n get right the fuck outta our face 
YES,sneakyb i hate when boys deny that they have bitches  smh
YES,taradise ya nigs out there still saying yall dont eat butt with a straight face
YES,yourewelcome im a boss ass bitch that needs to sit in a corner
YES,iwantfranny hes a hoe  i cant
YES,prettyflvck me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets
YES,rapdreams bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story 
YES,simplycaitlin why do my friends hate me because you a ratchet hoe
YES, no love for these fuck niggas hoes
YES, hot meat  sexy as fuck scally lad i would love to meet him and his trainers
YES, sniff  perved up scally lad fuck yeah
YES,p these bitches love sosa
YES, thunduh i legit watched it for about  or  seconds so did i wtf prob cause were retarded smh
YES, what should i name my cat ideas mr pussy
YES,  woof woof sexy thug boy scally
YES, nonlykeisha u see the damn phone ringing  when you married bitches makes demands you havent called me
YES, tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe
YES,  sex positions   this what u call fucking the soul outta bitch 
YES,  is bored supposed to be cute you faggot sometimes
NO,ceee one mans trash  is another mans treasure 
YES, i dont got no type bad bitches is the only thing i like iongotnotype
YES, thunduh lassen cc  the coach wants me i feel it youll get more my nig no doubt
YES, god teeth  gold chain
YES, its me hoe its me hoe shhhhh
YES, in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe
YES,jenn im gonna miss that bitch of a bus driverno you wont dont lie
YES, hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone  on my soul
NO,uk ashley young has tried to deny that bird s landed in his mouth gt   hahaha
YES,  yall both gimped up aint tht a bitch huh lol
NO, south take me for a ride   woof woof
YES,eggleton oh my god i love victoria mitchell all my bitches love me
YES, that long distance shit wack i knew the bitch was cheating uh oh
YES, hes doing it right   no bitches smh
YES, they ban dat pussy for life amp he gotta pay  millon dollar fine
YES, roses are red and violets are blue and niggers are black you know thats true 
NO, sitting on my window sill window open bird tries to fly in smacked it protecttheanimals 
YES, but a nigga gon be a nigga be a nigga you sound fuckin retarded
NO, a video an entire media will likely mock  i am such a crybaby
YES,imangie   im not even shy stfu kikis mom hi angelique 
YES,gold tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh 
YES, karma is a bitch damn godprotectshisangels 
YES, fuckin hot gym pussy  fuck yeah
NO, jihadi patron hajjaj alajmi is arrested at kuwait airpo 
YES, you can call me fireman cause i turn the hoes on
YES, i could never have a bby by a lil dick thts y i got a aboion by the last bitch oh my god
YES, watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
YES, and smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded
NO, tweety bird tho 
YES, my pussy sweet like watermelon 
NO, when twitter rappers dm me their trash links 
YES, loud bitches annoy me
YES, eventually every bitch turns into that hoe  truuu
YES,   i swear if oomf try talking to me tomorrow   pussy
YES,jam you bitches be pretending to be tf crazy you aint never lied
YES, thunduh k bye hoe um bye 
YES, jackies a retard blondeproblems at least i can make a grilled cheese
YES, ima keep on giving these pussy ass niggas ah reason to hate 
NO, photo  he is in sole heaven
YES, stacey dash won   baddest bitch evaaaa
YES, side bitch sunday  
YES,eazy facts what baldheaded bitch made this shit  
YES, fuck wit us and then we tweakin hoe shmurda
NO, we actin like its the th day  
YES,spook
YES, ill break that lil bitch neck and wont even feel sorry about it savage
YES, this is so fucking hot scally sneakersex sockfetish sniff trainersex  love me some kinky scallies
YES, yall dumb ass niggas be so pressed to have hoes yall weak as fuck as fuck weed over hoes oreos too
YES, i can turn yo bitch into a eaterrrrrrrrr
YES, i dont trust dese hoes nikki told st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn
YES, thunduh aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard
YES, now u got what u want bitch  enjoy it  now this is a crazy pay i would love to attend
NO, colored contacts in your eyes
YES,westt facts  only the dudes with hoes say they dont got hoes austin
YES, im rea sta smacking bitches period  bluffin at its best
YES, lifes a bitch and then you die 
YES, one of us is on drugs and its me but youre still wrong   hahahahahahah im a bitch sometimes 
YES, im feeling pretty fuckin ghetto smh
NO,    coleman swears im  man easily easily behind austin nip
YES,jrock this is a true ride or die bitch   what the fuck hahahahah
NO, hgwells and charlie chaplin  history photography
YES,jaylene all i see is brunos bitch ass on my twitter now wtf brunos all that she sees drake voice
YES,garza thunduh im about to cool faggot chill tf is cool nigga
YES,garza thunduh im so sure bitch frfr tf
YES, twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet
YES, got a couple bitches saying they know me but ima let the money talk for me  and im like wwyd
YES, grudges are for weirdosand bitches
NO, i told mariam to but cigarettes for her bihday
NO,  brownies tonight what kind
YES, no text back i dont give a fuck ill text another bitch damn someone is hu lol
YES,iongi ummmmmm okay  you got hoes from left to right  do yah thang
YES, using ymxb to find the slope of that ass
NO, fit lads nice gear  these scally lads n trainers would get it
YES, hell yeah bro  fuck yeah sexy scally lad in hot gear
YES, helping out a mate  i love scally play fuck yeah
YES, lads being lads  fuck yeah i love scally lad action hot trainers too
YES,twotone next year bitches is gonna be like you gotta promise you wont expose me 
YES,  so hot   lick it bitch  fuck yeah eat that trainer u diy fucker
YES, cincokilby yall think celebrity pussy different from the locals  yeah meghan goods is
NO,yongguk i saw an ajumma walk out in the beginning saying wow this is so trash that i cant even listen to it  lmaoo
YES, need these sox  fuck yeah i love a kinky scally lad w rank sox and sneaks
YES, i dont ever expose females like that thats childish bitch nigga shiiii
YES,   yasss
NO, dude remember this wop video   omg where did you find that
YES, thick raw fuck  damn his man pussy is getting a workout
NO, rawr   my sexy french scally i love him frenchscally  sexy scally woof woof
YES, nothin in life is free some of you bitches need to write that on ya panties
YES,  if one of you bitches want some of my burrito u can catch me at potosino huh haha
YES, niggas whole hoes out here cuz couldnt had said it better
YES, hardcore way to eat mac and cheese
YES, boil water 
YES, yourenotmytype if my fade is perpetually fresher than yours thats a real ass bitch rite there
YES, annoying bitch that i love  judyanns so pretty
YES, 
YES, hi bitch 
YES, does he look like a bitch capacitor
YES, chase money  not  hoes  
YES, cant stand a i dont know what i want ass nigga  bitch
YES,  shos im on my way  love a chavhot sexy scally fucker
YES, these newly gay bitches dont kno how shit works
YES, when a bitch dont want a real job they just become strippers lol lol
YES, awww meat meat in his feelinsi ainn n my feelings bitch
YES, i want snake bites  my industrial piercin amp a tattoodem hoe accessories dea 
NO, baby albino   
YES, these hoes aint loyal
YES, yassssss ordered chinese  bitch you just ate tacos you fat fuck
YES, i made that bitch lunch  bitches love lunch
YES,a no brainer
YES,a pussy a day keeps the devil away 
YES,aint that about a bitch what does that mean
YES,all these bitches want a baby i dont want no children
YES,and bitch you must be lost 
YES,baby i like being on your left side no bitch you cant be there cuz the street on that side and twitter said i aint real if you do
NO,bae sounds like such a ghetto word use something else
YES,batter the wee cunt jewis y cos he fucked my ex emma isnt battering the girls ive nailedive moved onstop being a pussy n do it urself
YES,bleed out hoe alexa
YES,boolin in the bando wit a few bitches
NO,brownies for my brownie i love this movie 
YES,but i need a bad bitch thats hotter than me might be the realist shit paynextdoor ever said thats how i be feelin everyday
YES,by the way we do punch bitches
YES,caesar is home     so much this bitch looks like lets sta with ape shit
NO,chinese maverick we were communicating comrade  u know giving the imperialist yanks the birdie 
YES,dad say hi to my snapchat 
YES,do you believe these hoes are not in fact loyal i disagree with that i do believe they are in fact the loyalest bunchthese hoes
YES,dont know no ugly bitches dont know no broke niggasgates
YES,dont make me make you fall in live with a nigga like meee the birds amp are my favorite songs by weeknd
YES,dont worry about the nigga you see worry about the nigga you dont see dats da nigga fuckin yo bitch
YES,dont you ever give my pussy away you keep it tight alright
YES,dropped a stack cause bitch im on
YES,dumb bitches do dumb things
YES,eat the pussy like a real nigga hungry
YES,eff it lets go after the cripple 
YES,everything look better with a bitch next to it
YES,facto  who cares if you a hoe when your ass looks like this 
YES,for every bad bitch there is a nigga tired of fucking her
YES,foreign chick no lie man that bitch beautiful
YES,fresh nigga so you kno i need a clean bitch who kno im working cuz i wanna see my team rich 
YES,fuck  i make my own rules suck my dragon balls bitch call me goku
NO,generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird  
YES,get me that shit bitch you is fine bear
YES,get your ass back to detroit ya fuckin wigger
YES,girls that i dated its okay i aint mad yo unless you stabbed me in the hea no love hoe
YES,how do you know my twitter password bitch please
YES,have you seen my shows have you seen my hoes if i wasnt hot would they be so thick
YES,he a bitch for hitting that hoe 
YES,he married to a white woman lucky sumbitch  uncle ruckus
YES,he wanna be my nigga but im just trinna be his savings account   omg imma funny ass bitch man but thats real shit 
YES,her great grandmas a hoeher grandmas a hoeher moms and a hoe and shes a hoe its a long line of hoes grandpa carl everyone
YES,hey go look at that video of the man that found the kidnapped girls in ohiowhat a nigger  shitmybosssays
YES,hey pussy you still there
NO,how about we draft all those gungho folks and send them to afghanistan or other war zones so they can show their 
YES,how hotter than is it a bitch
YES,how u talking to hoes bout bro n em why you talking to hoes bout bro n em
YES,how you doing crazy bitch is hilarious
YES,i know my shoes diy as fuck whatever bitch you dont have to call
NO,i am a thrill billywith a hillbilly hea  hahahahaha jesus murphy
YES,i call him my bitch 
YES,i cant handle no liquor but these bitches cant handle meeedd  chief sosa
YES,i dont chase after dudes i chase after bitches  edgar bautista
YES,i dont love these hoes baby its me and you forever
YES,i dont even need a picture of tamar that bitch is beat in every picture
YES,i dont have hoes 
NO,i found a new way to chug you have to open your mouth alot shitallysays
YES,i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her
YES,i got a bitch set it off like jada picketqueen latifah you riding round with your nieces bitch you titi
YES,i got a sister she told me stop calling women bitches
YES,i guess this is the night bitches die stewie is that nigga
YES,i had a bitch that had a bitch had the bitch eating halibut   freshrhymes jerksquad slowstir
YES,i have this ladylove
YES,i heard you was looking for candy man bitch
YES,i hope you dont get mad ladies i only call you bitches bitches bc i dont know your names individually katt williams 
YES,i just got a number  im a bitch boy
YES,i know that shit eatin grin you either just fucked the girl of your dreams or you sold a car we know youre a faggot whatd you sell
YES,i only be with older men cause theyre more mature
YES,i prolly leave up out this bitch with my cups in my hand and yo hand in my other hand
YES,i said i dont like it it tastes like wolf pussy 
YES,i taught myself how to eat pussy and cut my own hair
YES,i used to dress up like a cop too
YES,i went to jail for a flock amp came home wit a strike you went to jail as a bitch came home as a dike 
YES,i will fuck u where u stand u dizzy bitch two unique amp separate phrases i overheard a relative saying when i was younger
YES,i woke up like thi bitch go back to bed
YES,i would rather you call me bitch than sir my manager
YES,ill beat on that pussy so hard
NO,ill slit your throatneck 
YES,im a funky ass honkey   s shout out to  tonight before cabaret  jttour
YES,im comparing kfc to the pussy maxoff
YES,im downloading you a new personality and ordering you a new face you bitch i love you goddamn it axl rose yelling at his sex robot
YES,im feelin like malcolm in the middle these bitches surround me they cant miss em
YES,im gonna piss on your dimple  stop wasting prayers on trash teams lol
YES,im probably your main bitch chocolate dipped cinnamon apple
YES,im sick of his shit man  sit his bitch ass im fed up bro   geno threw yet another pick smh
YES,im sorry i fucked yo bitch but she really dig a nigga 
YES,ibs irritable bitch syndrome
YES,if you love her then hide yo bitch so youll keep shoy
YES,if you talk back to me you aint getting no pussy
YES,if youre a bad bitch put your hands up high 
YES,imma tie that bitch up in the basement and donkeyfuck her ass for two weeks straight hahahahahahahahaha centmovie beforeiselfdestruct
YES,in my mind
NO,is that an albino mexican
YES,it takes a true directioner to accept larry you know what bitch its fans like you that make the boys cry thankyoupaulforconfirminglarry
YES,its allegations were u in the bedroom did u see it words of a naive amp blind bitch we know ur husband cheated on u ramona is dumb
YES,its never too late to tag a bitch 
YES,its the dykes hunter dyke with a dyke 
YES,julia robes youre a ho  nottinghill
NO,just follow the yellow brick twitter
YES,lmfaoooooooooooooooooo brooks if your pussy is good but my mama dont like you guess who gotta gomy mama
NO,lol cripple  wendy davis   scientists create remotecontrolled chick to study shy penguins 
